window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.004239972517127758,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0000.npz"
1,no_chatter,False,0.004291820905810569,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0001.npz"
2,no_chatter,False,0.004738995315664925,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0002.npz"
3,no_chatter,False,0.004228363357581147,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0003.npz"
4,no_chatter,False,0.0042820013391140395,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0004.npz"
5,no_chatter,False,0.004536916692766597,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0005.npz"
6,no_chatter,False,0.007182591275972898,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0006.npz"
7,no_chatter,False,0.005942711928015951,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0007.npz"
8,no_chatter,False,0.007898680517237027,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0008.npz"
9,no_chatter,False,0.0048772482209916675,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0009.npz"
10,no_chatter,False,0.0039892536265862455,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0010.npz"
11,no_chatter,False,0.003853120582657519,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm320_doc0p060_xAccDetached\F_08-Jun-2017_rpm320_doc0p060_xAccDetached_window_0011.npz"
