window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.013842101186415578,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0000.npz"
1,chatter,True,0.37371960920996455,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0001.npz"
2,chatter,True,0.580076492493221,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0002.npz"
3,chatter,True,0.570144190675007,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0003.npz"
4,chatter,True,0.5845217289390602,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0004.npz"
5,chatter,True,0.5736660294044463,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0005.npz"
6,chatter,True,0.5861052536229041,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0006.npz"
7,chatter,True,0.5538035685178236,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0007.npz"
8,chatter,True,0.5875107066483498,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0008.npz"
9,chatter,True,0.6216459285441126,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0009.npz"
10,chatter,True,0.7365560414362258,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0010.npz"
11,chatter,True,0.7240064008002357,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0011.npz"
12,chatter,True,0.5831994887227266,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0012.npz"
13,chatter,True,0.3851232883572711,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0013.npz"
14,no_chatter,False,0.1942874046564055,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0014.npz"
15,no_chatter,False,0.014065777276035606,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0015.npz"
16,no_chatter,False,0.015128480497314108,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0016.npz"
17,no_chatter,False,0.015457190879193521,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0017.npz"
18,no_chatter,False,0.011197651599387331,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0018.npz"
19,no_chatter,False,0.011452771385534822,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0019.npz"
20,no_chatter,False,0.011112958161115063,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0020.npz"
21,no_chatter,False,0.010946578615175402,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0021.npz"
22,no_chatter,False,0.010833587552323672,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0022.npz"
23,no_chatter,False,0.010746526863121194,"..\data\01_windowed_labeled_2,5s\2inchStickout\F_08-Jun-2017_rpm770_doc0p010\F_08-Jun-2017_rpm770_doc0p010_window_0023.npz"
